LVL1_NAME,LVL2_NAME,LVL3_NAME,LVL1_TID,LVL2_TID,LVL3_TID,LVL1_LINK,LVL2_LINK,LVL3_LINK
Республика Карелия,,,2348078,,,https://www.reformagkh.ru/myhouse?tid=2348078,,
Республика Карелия,Сегежский муниципальный район,,2348078,2348092,,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348092,
Республика Карелия,Сегежский муниципальный район,Чернопорожское,2348078,2348092,,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348092,
Республика Карелия,Сегежский муниципальный район,Сегежское,2348078,2348092,2348829,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348092,https://www.reformagkh.ru/myhouse?tid=2348829
Республика Карелия,Сегежский муниципальный район,Поповпорожское,2348078,2348092,,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348092,
Республика Карелия,Сегежский муниципальный район,Надвоицкое,2348078,2348092,2348830,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348092,https://www.reformagkh.ru/myhouse?tid=2348830
Республика Карелия,Сегежский муниципальный район,Валдайское,2348078,2348092,,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348092,
Республика Карелия,Сегежский муниципальный район,Идельское,2348078,2348092,,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348092,
Республика Карелия,Костомукшский,,2348078,2348094,,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348094,
Республика Карелия,Беломорский муниципальный район,,2348078,2348087,,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348087,
Республика Карелия,Беломорский муниципальный район,Сосновецкое,2348078,2348087,2348100,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348087,https://www.reformagkh.ru/myhouse?tid=2348100
Республика Карелия,Беломорский муниципальный район,Летнереченское,2348078,2348087,2348098,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348087,https://www.reformagkh.ru/myhouse?tid=2348098
Республика Карелия,Беломорский муниципальный район,Беломорское,2348078,2348087,2348097,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348087,https://www.reformagkh.ru/myhouse?tid=2348097
Республика Карелия,Беломорский муниципальный район,Сумпосадское,2348078,2348087,2348101,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348087,https://www.reformagkh.ru/myhouse?tid=2348101
Республика Карелия,Медвежьегорский муниципальный район,,2348078,2348085,,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348085,
Республика Карелия,Медвежьегорский муниципальный район,Толвуйское,2348078,2348085,2348382,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348085,https://www.reformagkh.ru/myhouse?tid=2348382
Республика Карелия,Медвежьегорский муниципальный район,Пиндушское,2348078,2348085,2348378,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348085,https://www.reformagkh.ru/myhouse?tid=2348378
Республика Карелия,Медвежьегорский муниципальный район,Шуньгское,2348078,2348085,2348385,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348085,https://www.reformagkh.ru/myhouse?tid=2348385
Республика Карелия,Медвежьегорский муниципальный район,Чёлмужское,2348078,2348085,,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348085,
Республика Карелия,Медвежьегорский муниципальный район,Чёбинское,2348078,2348085,2348383,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348085,https://www.reformagkh.ru/myhouse?tid=2348383
Республика Карелия,Медвежьегорский муниципальный район,Паданское,2348078,2348085,2348381,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348085,https://www.reformagkh.ru/myhouse?tid=2348381
Республика Карелия,Медвежьегорский муниципальный район,Медвежьегорское,2348078,2348085,2348377,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348085,https://www.reformagkh.ru/myhouse?tid=2348377
